post_title,post_parent,ID,post_content,post_excerpt,post_status,sku,parent_sku,children,virtual,stock,regular_price,weight,length,width,height,upsell_ids,crosssell_ids,product_url,images,product_page_url,attribute:Adhesive-width,attribute_data:Adhesive-width,attribute_default:Adhesive-width,attribute:Coating,attribute_data:Coating,attribute_default:Coating,attribute:Coating:,attribute_data:Coating:,attribute_default:Coating:,attribute:Color,attribute_data:Color,attribute_default:Color,attribute:Diameter,attribute_data:Diameter,attribute_default:Diameter,attribute:Diameter/Thickness,attribute_data:Diameter/Thickness,attribute_default:Diameter/Thickness,attribute:Die-diameter,attribute_data:Die-diameter,attribute_default:Die-diameter,attribute:Dimension(L*W*H),attribute_data:Dimension(L*W*H),attribute_default:Dimension(L*W*H),"attribute:External dimensions","attribute_data:External dimensions","attribute_default:External dimensions",attribute:Length,attribute_data:Length,attribute_default:Length,attribute:Material,attribute_data:Material,attribute_default:Material,attribute:Metal-thickness,attribute_data:Metal-thickness,attribute_default:Metal-thickness,"attribute:Mould size","attribute_data:Mould size","attribute_default:Mould size",attribute:Name,attribute_data:Name,attribute_default:Name,"attribute:Other containers","attribute_data:Other containers","attribute_default:Other containers","attribute:PP Pore Size (Average Diameter)","attribute_data:PP Pore Size (Average Diameter)","attribute_default:PP Pore Size (Average Diameter)",attribute:Size,attribute_data:Size,attribute_default:Size,"attribute:Stainless Steel Type","attribute_data:Stainless Steel Type","attribute_default:Stainless Steel Type",attribute:Tab-height,attribute_data:Tab-height,attribute_default:Tab-height,attribute:Tab-width,attribute_data:Tab-width,attribute_default:Tab-width,attribute:Thickness,attribute_data:Thickness,attribute_default:Thickness,attribute:Type,attribute_data:Type,attribute_default:Type,attribute:Width,attribute_data:Width,attribute_default:Width,attribute:pa_thickness,attribute_data:pa_thickness,attribute_default:pa_thickness,attribute:pa_width,attribute_data:pa_width,attribute_default:pa_width
"Three-Electrode Split Test Cell",,5290,"<h2 class=""product-name"" data-hook=""product-title"">Three-Electrode Split Test Cell</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

Three-Electrode Split Test Cell For Reference Electrode Research.

&nbsp;

<u><strong>SPECIFICATIONS:</strong></u>
<ul>
 	<li><strong>Model : </strong>Three-Electrode Split Test Cell 3ESTC15</li>
 	<li><strong>Feautures :</strong></li>
</ul>
<ol>
 	<li>24 mm diameter insert.</li>
 	<li>Silicon O-ring in-between the three plates to ensure a good sealing up to a temperature of 250 °C.</li>
 	<li>Adjustable spring tension on top to accept various electrode thicknesses.</li>
 	<li>Easy to separate after testing</li>
 	<li>Small enough to be put into and taken out from a glove box</li>
</ol>
<ul>
 	<li><strong>Electrode diameter </strong>：24 mm</li>
</ul>
</div>
</div>
</section>",,publish,,,,no,,725,,,,,,,,"https://cam-energy.com/wp-content/uploads/2020/05/6b6081_83f69b377127493b8509648bd2a7011c_mv2.jpg ! alt :  ! title : 6b6081_83f69b377127493b8509648bd2a7011c_mv2 ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2018/04/three-electrode-split-test-cell.jpg ! alt : three electrode split test cell ! title : three electrode split test cell ! desc :  ! caption : ",https://cam-energy.com/product/three-electrode-split-test-cell-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table-top Automatic Electrode Paste Coater",,5301,"<h2 class=""product-name"" data-hook=""product-title"">Table-top Automatic Electrode Paste Coater</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

Designed to produce films with consistent thickness by using micrometer adjustable applicators or fixed thickness applicators. It has an unique driving system to produce smooth coating on all types of materials. One micrometer adjustable applicator is included for immediate use.

<strong>Main Features:</strong>
<ul>
 	<li>Controlled speed and pressure ensures repeatable results.</li>
 	<li>Coating by wire wound bars or gap applicators.</li>
 	<li>Two models offer coating areas of up to 170 x 250mm or 325 x 250mm.</li>
 	<li>Multiple coatings in one operation for comparison purposes.</li>
 	<li>Standard coating speeds infinitely variable between 2 and 15m/min.</li>
</ul>
</div>
</div>
</section>",,publish,,,,no,,,,,,,,,,"https://cam-energy.com/wp-content/uploads/2020/05/top.png ! alt :  ! title : top ! desc :  ! caption : ",https://cam-energy.com/product/table-top-automatic-electrode-paste-coater-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electric Crimping Machine",,5305,"<h2 class=""product-name"" data-hook=""product-title"">Electric Crimping Machine</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

<strong><u>SPECIFICATION:</u></strong>
<ul>
 	<li><strong>Source voltage :</strong> AC 220V-110V, 50HZ</li>
 	<li><strong>Power : </strong>120W</li>
 	<li><strong>Warranty</strong> <strong>:</strong> One year limited warranty with lifetime support</li>
 	<li><strong>Die Set &amp; Compatibility : </strong>Assembling dies for CR2016, CR2025 &amp; CR2032 coin cells (Optional: Crimping die for CR2450 coin cell is available upon request).</li>
 	<li><strong>Assembling Pressure :</strong> Recommended assembling pressure for CR20XX coin cells is about 100kg/cm2. The maximum pressure that can be applied is up to 200kg/cm2, up to 8T</li>
 	<li><strong>Measurement Accuracy :</strong> ±0.5%FS</li>
 	<li><strong>Product Dimensions :</strong> 385*160*325mm</li>
 	<li><strong>Weight :</strong> About 40kg</li>
 	<li><strong>Application Notes :</strong> Electrolytes are highly corrosive materials and therefore, the dies must be cleaned with alcohol after each use to avoid corrosion and deformation</li>
</ul>
</div>
</div>
</section>","Automatic electric crimping machine for  various types of coin cells, such as CR2016, CR2025 and CR2032. It is an ideal tool for operating both inside and outside of a glove box.  The pressure applied on coin cells is adjustable to meet various sealing requirements. Possibility of finishing work with dry powder/wet powder press sheet for electrode forming, using a different die.",publish,ECR-01,,,no,,2650,,,,,,,,"https://cam-energy.com/wp-content/uploads/2018/04/electric-crimper-scaled.jpg ! alt :  ! title : electric crimper ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2018/04/WeChat-Image_20200521124319-scaled.jpg ! alt :  ! title : ElectricCrimper2 ! desc :  ! caption : ",https://cam-energy.com/product/electric-crimping-machine/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Powder Compacting Hydraulic Press Machine",,5307,"<h2 class=""product-name"" data-hook=""product-title"">Powder Compacting Hydraulic Press Machine</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

Powder Compacting Hydraulic Press Machine For Lab Research.

&nbsp;

<u><strong>SPECIFICATIONS</strong></u>

&nbsp;

Manual type powder compacting hydraulic press machine is used for medicine and chemical powder sheet preparation. The press diameter is between 6mm-60mm. Practical in food, medical, chemical, ceramics and other industries. It is an ideal equipment for the laboratory to do scientific research in enterprises, colleges and universities.

For lithium battery, it is used for pressing the powder materials as electrode for battery or supercapacitor research.

&nbsp;
<table>
<tbody>
<tr>
<td>Max. Pressure</td>
<td>5T/10T can be customized</td>
</tr>
<tr>
<td>Max. working stroke</td>
<td>125mm/140mm</td>
</tr>
<tr>
<td>Dimension</td>
<td>220*160*370mm</td>
</tr>
<tr>
<td>Weight</td>
<td>20kg</td>
</tr>
<tr>
<td>Die materials</td>
<td>Stainless steel or Cr steel</td>
</tr>
</tbody>
</table>
</div>
</div>
</section><section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper""></div>
</section>",,publish,,,,no,,1900,,,,,,,,"https://cam-energy.com/wp-content/uploads/2020/05/6b6081_948259541d3543c897b4dd84c145782d_mv2.jpg ! alt :  ! title : 6b6081_948259541d3543c897b4dd84c145782d_mv2 ! desc :  ! caption : ",https://cam-energy.com/product/powder-compacting-hydraulic-press-machine/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2S/3S Battery Holder For 18650/26650 Pack",,5311,"<h2 class=""product-name"" data-hook=""product-title"">2S/3S Battery Holder For 18650/26650 Pack</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

2S/3S Battery Holder For 18650/26650 E-Bike Battery Pack

&nbsp;
<ol>
 	<li> 18650/26650 cylindrical battery holder adopts flame retardant ABS VO grade raw material, install the battery hole aperture is about 18.2mm for 18650 battery and 26.2mm for 26650 battery.</li>
 	<li>We can supply both 2 series and 3 series structures. Suitable for EV electric vehicle battery combination.</li>
 	<li>Easier spot welding with battery holder to fix the battery pack.</li>
</ol>
</div>
</div>
</section>",,publish,,,,no,,,,,,,,,,"https://cam-energy.com/wp-content/uploads/2018/04/2S3S-Battery-Holder-For-Pack.jpg ! alt :  ! title : 2S3S-Battery-Holder-For-Pack ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2020/05/b841a8_76a46557355948a1bfc7bfd57a0ea51e_mv2-1.png ! alt :  ! title : b841a8_76a46557355948a1bfc7bfd57a0ea51e_mv2 ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2020/05/b841a8_a8482a5ff8884e15acac33ca6c0267ed_mv2.jpg ! alt :  ! title : b841a8_a8482a5ff8884e15acac33ca6c0267ed_mv2 ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2020/05/b841a8_39adb6205ceb4a948a7abd55eed0a0bd_mv2.png ! alt :  ! title : b841a8_39adb6205ceb4a948a7abd55eed0a0bd_mv2 ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2020/05/b841a8_bf62f514719b49fe8b837419cdc282e4_mv2.png ! alt :  ! title : b841a8_bf62f514719b49fe8b837419cdc282e4_mv2 ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2020/05/b841a8_08ec6c280f7543da87a8e4f265e6d17c_mv2-1.png ! alt :  ! title : b841a8_08ec6c280f7543da87a8e4f265e6d17c_mv2 ! desc :  ! caption : ",https://cam-energy.com/product/2s-3s-battery-holder-for-18650-26650-pack-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26650 cylinder battery case",,5318,"<h2 class=""product-name"" data-hook=""product-title"">26650 cylinder battery case</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" data-hook=""product-page-description-content-wrapper"">
<p>26650 Cylinder Cell Case with Anti-Explosive Cap and Insulation O-ring.</p>
<p>50 pcs/bag</p>
<p><u><strong>SPECIFICATIONS:</strong></u></p>
<ul>
<li>26650 Battery Case Dimensions (Diameter x Thickness x Height) : 26 mm (D) x 0.25 mm (T) x 67 mm (H)</li>
</ul>
<ol>
<li> <strong>Top Cap :</strong>
<ul>
<li>Dimensions : 17.5m (D) x 4.05 mm (H)</li>
<li>Safety valve's open pressure: 2.5 MPa  (The cap valve will open to release interior high pressure if over 2.5 MPa to ensure the can doesn't explode)</li>
</ul>
</li>
<li><strong>Top Insulator</strong> : Dimensions: 16.1 mm (D) x 2.6 m (T)​​​​​​​</li>
<li><strong>Other </strong>: aluminum spacers   sealing O-rings</li>
</ol>
<p>&nbsp;</p>
</div>
</div>
</section>
",,publish,26650F,,,no,,,,,,,,,,"https://cam-energy.com/wp-content/uploads/2020/05/b841a8_0d01d03d14674b81a143f73d3dab0c52_mv2.png ! alt :  ! title : b841a8_0d01d03d14674b81a143f73d3dab0c52_mv2 ! desc :  ! caption : ",https://cam-energy.com/product/26650-cylinder-battery-case-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coin Cell Electrode Disc Cutter",,5322,"<h2 class=""product-name"" data-hook=""product-title"">Coin Cell Electrode Disc Cutter</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

<u><strong>SPECIFICATIONS</strong></u>

The Coin cell disc cutter machine is used for coin cell electrode punching with customized cutting die. It's operation is simple with light weight,  The resulting discs can be used as electrode/separator discs of split test cell and coin cell for battery research.
<table style=""height: 1174px;"" width=""627"">
<tbody>
<tr>
<td>Machine model</td>
<td>Disc cutter for coin cell electrode punch  CES-CP60</td>
</tr>
<tr>
<td>Operation</td>
<td>Manual</td>
</tr>
<tr>
<td>Punching size</td>
<td>φ8-24mm can be chosen</td>
</tr>
<tr>
<td>Application Notes</td>
<td>To make CR2016, CR2025 or/and CR2032 coin cell batteries, we will need at least three cutting dies:

A 15mm (for negative side case, which is 16.5mm in diameter)

B 19mm (for positive side case, which is 20mm in diameter)

C 20 mm (for separator to completely separate the electrodes)

For CR2450 coin cell:

20mm cutting die can be used for cutting electrode discs and the  24mm cutting die for either electrode or separator disc.</td>
</tr>
<tr>
<td>Punching stroke</td>
<td>25mm</td>
</tr>
<tr>
<td>Punching thickness</td>
<td>0.005-0.5mm electrode and separator</td>
</tr>
<tr>
<td>Advantages</td>
<td>Simple operation

Light weight

Can cut both  the electrode and separator (Please specify on comments as separator die is slightly different)</td>
</tr>
<tr>
<td>Dimension</td>
<td>110*150*235mm</td>
</tr>
<tr>
<td>Weight</td>
<td>About 6kg</td>
</tr>
<tr>
<td>Warranty</td>
<td>One Year limited warranty with lifetime support</td>
</tr>
</tbody>
</table>
</div>
</div>
</section>","Precision disc cutter with standard and customized punching dies of diameters from 8mm to 24mm used for cutting electrodes and separators for coin cell production in lab research. Comes with single die as standard, other dies available on request.",publish,CES-CP60,,,no,,1200,,,,,,,,"https://cam-energy.com/wp-content/uploads/2020/05/6b6081_ad06e3c874cd4247a58b8f95db73e401_mv2-1.jpg ! alt :  ! title : 6b6081_ad06e3c874cd4247a58b8f95db73e401_mv2 ! desc :  ! caption : ",https://cam-energy.com/product/coin-cell-electrode-disc-cutter/,,,,,,,,,,,,,,,,,,,"12mm | 15mm | 16mm | 18mm | 19mm | 20mm",0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coin Cell Crimper",,5324,"<h2 class=""product-name"" data-hook=""product-title"">Coin Cell Crimper</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

Compact Hydraulic Coin Cell Crimper Machine with lighter weight. The crimper is suitable for sealing various types of coin cells such as CR2032,CR2025,and CR2016 with adjustable sealing line and without changing the die. It can also crimp CR2325, CR2450, AG3, AG5 and other special size cases with optional die sets.

In addition, customers can easily replace the original die with a disassembling die (optional).

Given its small size, it can be operated inside a glove box.

</div>
</div>
</section>",,publish,CR-01,,,no,,1895,,,,,,,,"https://cam-energy.com/wp-content/uploads/2018/04/2021-02-06-at-14.28.22.jpeg ! alt :  ! title : Coin cell crimper ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2018/04/20200525_191751-scaled.jpg ! alt :  ! title : Coin Cell Crimper 2 ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2018/04/20200525_191825-scaled.jpg ! alt :  ! title : Crimping Die ! desc :  ! caption : ",https://cam-energy.com/product/coin-cell-crimper/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lithium Metal Punching Tool",,5328,"<h2 class=""product-name"" data-hook=""product-title"">Lithium Metal Punching Tool</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

This is a punching tool for the hyperactive lithium metal used as a cathode.  It has a plastic die in order to avoid fire.

&nbsp;

<u><strong>SPECIFICATION:</strong></u>
<ul>
 	<li>Model No. : KTE-20L-A</li>
 	<li>Dimensions: 125 mm (W) x 150 mm (D) x 195 mm (H)</li>
 	<li>Weight : approximately 3 kg</li>
 	<li>Punching Shape : 2032 coin cell size ∅ 16 mm</li>
 	<li>Japanese product. Available in various shapes such as round/doughnut/square</li>
</ul>
&nbsp;

<u><strong>Instructions for Operation:</strong></u>

&nbsp;
<ol>
 	<li>Place the lithium metal on a nonactive material such as a polypropylene plate.</li>
 	<li>Place the lithium metal that needs to be cut on the lower die.</li>
 	<li>Push down the lever until the gap between the upper and lower dies is the same as the lithium metal (don’t push down too far to avoid burrs deformations)</li>
 	<li>Push down the lever completely after turning over the punching tool.</li>
 	<li>Pick up the lithium metal on the bottom of the tool.</li>
</ol>
&nbsp;

<u><strong>Caution:</strong></u>

Please be careful when handling the hyperactive lithium metal. It may catch fire very easily.

</div>
</div>
</section>",,publish,,,,no,,2900,,,,,,,,"https://cam-energy.com/wp-content/uploads/2020/05/b841a8_5fae8d9ff0fd4fb4949f0a9c8b95bc91_mv2.jpg ! alt :  ! title : b841a8_5fae8d9ff0fd4fb4949f0a9c8b95bc91_mv2 ! desc :  ! caption : ",https://cam-energy.com/product/lithium-metal-punching-tool-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laminated Cell Holder",,5330,"<h2 class=""product-name"" data-hook=""product-title"">Laminated Cell Holder</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

It is a setup tool for laminated cells when connecting with measuring instruments such as the charge-discharge instrument. The holders are designed to fit into homothermal chambers based on the cell size and the chamber size.

</div>
</div>
</section>",,publish,,,,no,,,,,,,,,,"https://cam-energy.com/wp-content/uploads/2018/04/Laminated-Cell-Holder.jpg ! alt : Laminated Cell Holder ! title : Laminated Cell Holder ! desc :  ! caption : ",https://cam-energy.com/product/laminated-cell-holder-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pneumatic Crimping Machine for Cylindrical Cells",,5334,"<h2 class=""product-name"" data-hook=""product-title"">Summary of equipment characteristics</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<ul>
 	<li>It is mainly used in the sample production of laboratory battery material research
and development for the scientific research and sealing of cylindrical batteries and
cylindrical capacitors, and can also be used for small batch trial production in factories.</li>
 	<li>Various size molds are available as options.</li>
 	<li>Suitable for use in glove box and can be passed via ante-chamber.</li>
 	<li>It is small in size and easy to operate</li>
 	<li>Stable sealing performance: Precise mold design</li>
 	<li>built-in pressure gauge for accurately controlling the sealing pressure</li>
 	<li>Pneumatic high-pressure drive: no vibration and and hence highly reduced leakage possibility</li>
 	<li>Easy, low maintenance</li>
</ul>
Note a hydraullic version is also available.

</div>
</section>","Compact pneumatic crimper. Seals all types of battery cylinder cases. Compact and simple to operate. Pneumatic and electronically operated, suitable for clean environments.",publish,CES-CC50P,,,no,,3450,,,,,,,,"https://cam-energy.com/wp-content/uploads/2018/04/Pneumatic-crimper.png ! alt :  ! title : Pneumatic crimper ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2018/04/Pneumatic-crimper-size.png ! alt :  ! title : Pneumatic crimper size ! desc :  ! caption : ",https://cam-energy.com/product/pneumatic-crimping-machine-for-cylindrical-cells/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electrolyte Filling &amp; Vacuum Sealer",,5346,"<h2 class=""product-name"" data-hook=""product-title"">Electrolyte Filling &amp; Vacuum Sealer</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" data-hook=""product-page-description-content-wrapper"">
<p>This machine “VD1000A” fills the electrolyte into the batteries and capacitors under vacuumed atmosphere. It is a filling equipment for laminate cells. It is designed for the glove BOX and the dry room.</p>
<p>&nbsp;</p>
<p><u>SPECIFICATIONS:</u></p>
<p>&nbsp;</p>
<ul>
<li>Model No. VD1000A</li>
<li>Dimensions: 150 mm (W) x 350 mm (D) x 200 mm (H)</li>
<li>Weight : approximately 12 kg</li>
<li>Material : SUS304</li>
<li>Standard work : 2032, 2016 as required</li>
<li>Push out pin : to push out the work with pin</li>
<li>Japanese product</li>
</ul>
</div>
</div>
</section>
",,publish,,,,no,,41500,,,,,,,,"https://cam-energy.com/wp-content/uploads/2018/04/Electrolyte-Filling-Vacuum-Sealer.jpg ! alt : Electrolyte Filling & Vacuum Sealer ! title : Electrolyte-Filling-Vacuum-Sealer ! desc :  ! caption : ",https://cam-energy.com/product/electrolyte-filling-vacuum-sealer-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hand Operated Coin Cell Crimper",,5357,"<h2 class=""product-name"" data-hook=""product-title"">Hand Operated Coin Cell Crimper</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

This equipment is a manually operated coin cell crimper. It has a compact body and can be operated in a glove box.

&nbsp;

<u><strong>SPECIFICATION:</strong></u>

&nbsp;
<ul>
 	<li>Model No. KTE-10S-D</li>
 	<li>Dimensions: 150 mm (W) x 350 mm (D) x 200 mm (H)</li>
 	<li>Weight : approximately 12 kg</li>
 	<li>Material : SUS304</li>
 	<li>Standard work : 2032, 2016 as required</li>
 	<li>Push out pin : to push out the work with pin</li>
 	<li>Japanese product</li>
</ul>
</div>
</div>
</section>",,publish,KTE-10S-D,,,no,,6700,,,,,,,,"https://cam-energy.com/wp-content/uploads/2020/05/b841a8_12ade35ed159416caafd5efaa55d4c01_mv2-1.jpg ! alt :  ! title : b841a8_12ade35ed159416caafd5efaa55d4c01_mv2 ! desc :  ! caption : ",https://cam-energy.com/product/hand-operated-coin-cell-crimper-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Four Terminal Coin Cell Holder",,5359,"<h2 class=""product-name"" data-hook=""product-title"">Four Terminal Coin Cell Holder</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

It is a setup tool for coin cells when connecting with measuring instruments such as the charge-discharge instrument. It is equipped with coaxial contact probes.

<u><strong>SPECIFICATION</strong></u>:
<ul>
 	<li>Model No. EG-CCH-2X8-16CH</li>
 	<li>Holder size : ∅ 21 mm</li>
 	<li>Upper terminals : 2 terminals, coaxial probe gold plated</li>
 	<li>Lower terminals : 2 terminals, 8 channels, total 16 terminals</li>
 	<li>Bottom plate : stainless steel</li>
 	<li>Max. temperature : 95°C</li>
 	<li>Dimensions: 270 mm (W) x 135 mm (D) x 54 mm (H)</li>
 	<li>Weight : approximately 1 kg</li>
 	<li>Japanese product</li>
</ul>
</div>
</div>
</section>",,publish,,,,no,,1995,,,,,,,,"https://cam-energy.com/wp-content/uploads/2018/04/Four-Terminal-Coin-Cell-Holder.jpg ! alt : Four Terminal Coin Cell Holder ! title : Four-Terminal-Coin-Cell-Holder ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2018/04/Four-terminal-testing-board2.png ! alt :  ! title : Four terminal testing board2 ! desc :  ! caption :  | https://cam-energy.com/wp-content/uploads/2018/04/Four-terminal-testing-board.png ! alt :  ! title : Four terminal testing board ! desc :  ! caption : ",https://cam-energy.com/product/four-terminal-coin-cell-holder/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Automatic Coin Cell Crimper",,5372,"<h2 class=""product-name"" data-hook=""product-title"">Automatic Coin Cell Crimper</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

An automatic coin cell crimper with a compact body and can be operated in a glove box.

&nbsp;

<u><strong>SPECIFICATION</strong></u>:

&nbsp;
<ul>
 	<li>Model No. KTE-20S-D</li>
 	<li>Dimensions: 185 mm (W) x 245 mm (D) x 300 mm (H)</li>
 	<li>Weight : approximately 17 kg</li>
 	<li>Pressing Force: Max. 720 kgf</li>
 	<li>Standard work : CR2032</li>
 	<li>Power Supply : AC100V</li>
 	<li>Japanese product</li>
</ul>
&nbsp;

Interlock : If the safety cover is opened during crimping operation or the stop button is pressed, all the work will be suspended. Push the start button to release the suspending and return to the start postilion.

</div>
</div>
</section>",,publish,,,,no,,15525,,,,,,,,"https://cam-energy.com/wp-content/uploads/2020/05/b841a8_79df246f51fd45f7b0325f18cc72fe87_mv2-1.png ! alt :  ! title : b841a8_79df246f51fd45f7b0325f18cc72fe87_mv2 ! desc :  ! caption : ",https://cam-energy.com/product/automatic-coin-cell-crimper/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aluminium Foam",,5383,"<h2 class=""product-name"" data-hook=""product-title"">Aluminium Foam</h2>
<section class=""description"" data-hook=""product-page-description"">
<div class=""description-wrapper"">
<div class=""content-wrapper"" aria-live=""assertive"" data-hook=""product-page-description-content-wrapper"">

Aluminum Foam offers a compelling range of innovative materials solution

</div>
</div>
</section>",,publish,,,,no,,,,,,,,,,"https://cam-energy.com/wp-content/uploads/2018/04/Aluminium-Foam.jpg ! alt :  ! title : Aluminium-Foam ! desc :  ! caption : ",https://cam-energy.com/product/aluminium-foam/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
